Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,C_0805_2012Metric,12.1,1.2125,270,bottom
C2,100u,CP_EIA-3528-21_Kemet-B,14.85,1.3375,270,bottom
C3,1u,C_0805_2012Metric,5.2,20.0625,270,bottom
C4,1u,C_0805_2012Metric,4.7,13.7625,270,bottom
C5,1u,C_0805_2012Metric,5.7625,10.75,180,bottom
C6,15p,C_0805_2012Metric,16.7625,23.9,180,bottom
C7,1u,C_0805_2012Metric,13.55,7.7625,270,bottom
C8,15p,C_0805_2012Metric,19.9,21.0375,270,bottom
C9,27p,C_0805_2012Metric,9.2,5.2625,90,bottom
C10,27p,C_0805_2012Metric,11.5,5.2625,90,bottom
C11,1u,C_0805_2012Metric,15.6125,12.55,0,bottom
C12,1u,C_0805_2012Metric,12.9,21.2375,270,bottom
C13,18p,C_0805_2012Metric,15.8125,14.45,0,bottom
C14,18p,C_0805_2012Metric,16.9125,16.35,0,bottom
C15,1p,C_0805_2012Metric,19.65,17.2125,90,bottom
C16,1p,C_0805_2012Metric,21.2875,14.35,0,bottom
C18,2.0p,C_0805_2012Metric,24.8375,14.35,0,bottom
C19,1u,C_0805_2012Metric,26.0375,10.25,180,bottom
C20,1u,C_0805_2012Metric,29.4625,10.25,0,bottom
D1,B5819W,D_SOD-123,26.5,6.3,0,bottom
R2,56k,R_0805_2012Metric,15.6125,10.55,180,bottom
R3,1k,R_0805_2012Metric,26.3,18.6375,90,bottom
R4,1k,R_0805_2012Metric,26.2,22.2,180,bottom
U2,AMS1117-3.3,SOT-223-3_TabPin2,20.4,1.4,90,bottom
U3,CC2530Fxxx,QFN-40-1EP_6x6mm_P0.5mm_EP4.6x4.6mm,9.75,15.55,90,bottom
U4,RFX2401C,QFN-16-1EP_3x3mm_P0.5mm_EP1.7x1.7mm,28.725,13.675,0,bottom
Y1,32.768kHz,Crystal_SMD_3215-2Pin_3.2x1.5mm,10.35,8.3,180,bottom
Y2,32MHz,Crystal_SMD_SeikoEpson_FA238-4Pin_3.2x2.5mm,16.8,21,0,bottom
